claim,topic_id,ndcg@5,map@5,ndcg@10,map@10,ndcg@20,map@20,ndcg@50,map@50,ndcg@100,map@100,stance_support@5,stance_contradict@5,stance_neutral@5,inverse_simpson@5,diversity_level@5,Self_BLEU@5,stance_support@10,stance_contradict@10,stance_neutral@10,inverse_simpson@10,diversity_level@10,Self_BLEU@10,stance_support@20,stance_contradict@20,stance_neutral@20,inverse_simpson@20,diversity_level@20,Self_BLEU@20,stance_support@50,stance_contradict@50,stance_neutral@50,inverse_simpson@50,diversity_level@50,Self_BLEU@50,stance_support@100,stance_contradict@100,stance_neutral@100,inverse_simpson@100,diversity_level@100,Self_BLEU@100
The antiviral drug remdesivir has been one of the few treatments that's seemed to help curb death rates in COVID-19,30,0.8930068676327362,0.0146198830409356,0.7509288930482942,0.0217395340202357,0.6325631023036786,0.0336178231431069,0.5694682406633943,0.0627706557968772,0.4516674033292859,0.0877360663977365,0.3566572964191437,0.38869649171829224,0.2546462416648865,2.9143127182134556,high,0.03311958891498111,0.3559940457344055,0.3903874456882477,0.2536185383796692,2.911577314597805,high,0.268670353384977,0.35756656527519226,0.3875235617160797,0.254909873008728,2.9153888654153612,high,0.4637705539274791,0.35400325059890747,0.3858236074447632,0.26017314195632935,2.9251036988826096,high,0.6608999494134338,0.3548591136932373,0.3853742182254791,0.25976669788360596,2.924686330688563,high,0.5684421178201178
the lack of Vitamin D make you more susceptible to the Covid-19 coronavirus,42,0.830419897363192,0.0191891891891891,0.8263333286520083,0.0378614328614328,0.6890779577213988,0.0561701717197073,0.5868219702284182,0.0994307261450528,0.5407797082925555,0.169364648593786,0.34687933325767517,0.3935644030570984,0.25955629348754883,2.918960778437514,high,0.9889250661223571,0.3459326922893524,0.3927406370639801,0.2613266706466675,2.9222141413522116,high,0.5445932353407495,0.34642863273620605,0.3895625174045563,0.26400884985923767,2.928493964957321,high,0.44862042383459083,0.3512604832649231,0.38591301441192627,0.26282647252082825,2.929196742255568,high,0.5757957899264512,0.3531924784183502,0.3838862180709839,0.26292121410369873,2.930479176171635,high,0.4632699702650464
Vitamin D may improve odds of survival from COVID-19.,42,0.7227265726449519,0.0162162162162162,0.8200685179888283,0.0362634062634062,0.7075979543758567,0.0604518667676562,0.5952619633182287,0.1049149919331706,0.6173492807321925,0.2174201044296963,0.3585732579231262,0.3734663128852844,0.26796045899391174,2.9424342950446483,high,0.30682579748031386,0.34636974334716797,0.3848181366920471,0.2688121199607849,2.9384372310984483,high,0.3406214239015249,0.34658148884773254,0.38533321022987366,0.2680853605270386,2.937114915658164,high,0.4641107875371288,0.3480459153652191,0.38712596893310547,0.26482802629470825,2.9313790591944167,high,0.5427117141747241,0.3529345393180847,0.3824945390224457,0.26457080245018005,2.9337336556662543,high,0.508791603032574
VITAMIN D LEVELS MAY IMPACT COVID-19 MORTALITY RATES,42,0.6608397947263839,0.0146846846846846,0.7136540102475308,0.0328764478764478,0.6546041434395862,0.0563502693998049,0.5613089654724035,0.102257273228082,0.5559400278154477,0.1861134237971797,0.3394693434238434,0.3941073417663574,0.2664232850074768,2.927902656037908,high,0.027826683659929075,0.3476535677909851,0.38825321197509766,0.26409319043159485,2.9295547795855774,high,0.3844013786502677,0.3499264717102051,0.3850380778312683,0.265035480260849,2.9330102407539123,high,0.39130595991861766,0.35227298736572266,0.38463664054870605,0.26309043169021606,2.9303325335295365,high,0.5402209720900454,0.3474074900150299,0.38865602016448975,0.2639365792274475,2.9290469040397262,high,0.5043494914130061
Ideal weather conditions may have helped coronavirus thrive,2,0.8687949224876582,0.0123456790123456,0.77523873680463,0.0193930041152263,0.6485796558235206,0.0281320145903479,0.529040539182329,0.0489722482299276,0.5009054196261656,0.0852865082269159,0.35920727252960205,0.39034709334373474,0.2504456043243408,2.9059313613542432,high,0.7967969498766784,0.3539595305919647,0.38797828555107117,0.2580621540546417,2.920470639351499,high,0.5205245226474102,0.35464587807655334,0.38663750886917114,0.2587166726589203,2.9222968536027727,high,0.5920524659645761,0.35390663146972656,0.38811981678009033,0.2579735219478607,2.920243158417192,high,0.6026201372284453,0.3485816717147827,0.3919796645641327,0.2594386041164398,2.9200009746554767,high,0.5260999048659587
There is no evidence taking vitamin D supplements will protect people from Covid-19.,42,0.3451913422468693,0.0048648648648648,0.5750739861833288,0.0214221364221364,0.590769584082333,0.0457169618934324,0.595220868766906,0.1077408324097284,0.5883947774157602,0.2101289381965949,0.3680150508880615,0.37152528762817383,0.26045963168144226,2.929927998780333,high,0.459498261217275,0.3677406311035156,0.3726603388786316,0.2595990300178528,2.9282529662426193,high,0.3799421406804113,0.36087319254875183,0.37759676575660706,0.26152992248535156,2.9307748093566626,high,0.42853269971580604,0.35737475752830505,0.3792233169078827,0.2634018659591675,2.9333461316984994,high,0.45967035965670683,0.35184016823768616,0.3824446499347687,0.2657153010368347,2.9354778825428536,high,0.4892095565231914
VITAMIN D LEVELS increase COVID-19 MORTALITY RATES,42,0.3835663673713356,0.0063063063063063,0.4884513709848781,0.0175718575718575,0.5947321407199623,0.045488133831787,0.509660062281901,0.0841208820347048,0.5248963056316052,0.1670199178097723,0.3562871813774109,0.39129406213760376,0.2524188160896301,2.908948416635739,high,0.48424262759341014,0.3561987280845642,0.38863545656204224,0.25516581535339355,2.915242209425232,high,0.5142211285690428,0.35426050424575806,0.3854316174983978,0.2603079080581665,2.9255313889852554,high,0.5759482792362045,0.35472428798675537,0.382577121257782,0.26269856095314026,2.9307886326274835,high,0.5287477319768393,0.3497239649295807,0.38658785820007324,0.26368802785873413,2.930073321621574,high,0.4575839759395925
all hand sanitizers works against covid-19 ,19,0.3156484524795145,0.0080128205128205,0.4517660318707361,0.0374656593406593,0.3659521037722935,0.065034884986808,0.2847673034046004,0.0944680289903156,0.311521514715786,0.1298284060225078,0.3425610065460205,0.3976394534111023,0.2597994804382324,2.9157838207972637,high,0.8052685133176479,0.3458036482334137,0.39523157477378845,0.25896480679512024,2.9167195750270682,high,0.838617982554125,0.3478352427482605,0.3915247619152069,0.260640025138855,2.9221461935603883,high,0.7872781438807468,0.3524618148803711,0.3885186016559601,0.2590196430683136,2.9216937978238997,high,0.6180262602038454,0.351497083902359,0.38853657245635986,0.25996628403663635,2.9231789846052014,high,0.5914696256431498
A central player in the fight against the novel coronavirus is our immune system.,3,0.0,0.0,0.0678427226955831,0.0005767811000369,0.0629757971410431,0.0009920634920634,0.0414763704025186,0.0011465871728175,0.0443298681235893,0.0016799894006629,0.34219464659690857,0.40226465463638306,0.2555406987667084,2.9051602163889654,high,0.42227971165315886,0.340478777885437,0.4019174575805664,0.2576037347316742,2.9084721139935805,high,0.48448015580452297,0.3406071066856384,0.401228129863739,0.25816479325294495,2.9099691219775115,high,0.4657820750667665,0.3419376611709595,0.3965790569782257,0.26148322224617004,2.9191131417992673,high,0.670848356506321,0.3427842855453491,0.3952643871307373,0.2619515359401703,2.9209567285427265,high,0.6529118717192455
"Heart damage lingers in COVID-19 patients, even after recovery",22,0.180027307288617,0.0020661157024793,0.1168254041215526,0.0020661157024793,0.1101454739895562,0.0024535123966942,0.1147432831246043,0.004255723092332,0.0860143440288427,0.0047859317794522,0.34812718629837036,0.39275068044662476,0.25912219285964966,2.9189414802132783,high,0.9744390649843755,0.3423594534397125,0.3962351977825165,0.261405348777771,2.919323683350116,high,0.7155719510472466,0.3443072438240051,0.397083580493927,0.25860920548439026,2.914588895727786,high,0.5409698700972894,0.35095661878585815,0.3902031183242798,0.2588401734828949,2.9203283007622662,high,0.42002006771683126,0.3481927216053009,0.39122241735458374,0.26058486104011536,2.9222879459046647,high,0.47921950857654694
social distancing is the most effective measure of containing the spread of the new coronavirus.,10,0.3391602052736161,0.0034435261707988,0.4701903565434559,0.0081882133018496,0.4275094086776547,0.0141487300578209,0.4786972183271654,0.0363229691180531,0.4641113919303667,0.0682644900672502,0.3449755012989044,0.3922126293182373,0.2628118395805359,2.9247556713371448,high,0.04334852589751799,0.3441977798938751,0.3967602849006653,0.2590419352054596,2.9155066568169445,high,0.2899931163590006,0.34696561098098755,0.3960304856300354,0.2570039629936218,2.9131050883444134,high,0.46191083250833215,0.3478982150554657,0.39569273591041565,0.2564091384410858,2.9124666358301345,high,0.46466023083988345,0.3481805920600891,0.3952499330043793,0.25656944513320923,2.913072969394028,high,0.5139925134430103
Drugs for high blood pressure appear to make COVID-19 worse,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0076850663505321,5.2787162162162165e-05,0.0279826566650473,0.0003762587508776,0.35238999128341675,0.39401501417160034,0.2535950243473053,2.9092011296440172,high,0.4579024181343174,0.34968772530555725,0.39380884170532227,0.2565034329891205,2.9140846770656657,high,0.5382149297817462,0.35385242104530334,0.3852512836456299,0.2608962655067444,2.926569893001119,high,0.5446437917867104,0.351826548576355,0.386656254529953,0.26151713728904724,2.9267478139514598,high,0.47075311933985936,0.3525037467479706,0.38702377676963806,0.26047250628471375,2.9248981868898185,high,0.41297190244821147
diabetes more than doubles your risk of dying from coronavirus.,24,0.1460683498427064,0.0007002801120448,0.164219586306328,0.0014005602240896,0.1764012192242249,0.0026598874844055,0.235522664824664,0.0093812949579433,0.2248326203562305,0.0171324742643968,0.3568490147590637,0.3818134665489197,0.261337548494339,2.9289433558691065,high,0.40504927918066624,0.36108922958374023,0.38362687826156616,0.255283921957016,2.9177924263591684,high,0.37039138349733247,0.3574254512786865,0.38888806104660034,0.25368639826774597,2.9125336285931187,high,0.4976639859673781,0.3529772162437439,0.38855618238449097,0.25846660137176514,2.9207840873372315,high,0.5840613607426104,0.3514513373374939,0.38857805728912354,0.2599705159664154,2.923159375908194,high,0.5575680370939761
number of deaths by covid-19 can be reduced if the population wear face masks in public,18,0.3391602052736161,0.0033003300330033,0.3573555183412827,0.0061606160616061,0.3062751119179142,0.0092970835545092,0.3376340822141083,0.0228655769193665,0.3475066886668869,0.0505510407343073,0.346329927444458,0.4037178158760071,0.2499522715806961,2.8951217386727683,high,0.6352115817096944,0.35023993253707886,0.4023086428642273,0.24745145440101624,2.892242470129797,high,0.5855509016362916,0.3488229215145111,0.39876753091812134,0.25240954756736755,2.903570660589732,high,0.5592821058697378,0.34796130657196045,0.3985190987586975,0.25351962447166443,2.905568507416534,high,0.5768550218407152,0.34987789392471313,0.3956683278083801,0.2544538676738739,2.909389305769203,high,0.5800547696360859
remdesivir is highly effective at fighting the novel coronavirus in isolated cells,30,0.6608397947263839,0.007943469785575,0.5716349530699038,0.012225006961849,0.4983891575621712,0.0193042053787667,0.5338812862939035,0.0498724070230681,0.4484396273985332,0.081592990401837,0.3714953064918518,0.37309008836746216,0.25541457533836365,2.9202060531574396,high,0.8001830626052738,0.3687707185745239,0.37688755989074707,0.254341721534729,2.917784814705571,high,0.6288503986259187,0.36200258135795593,0.3825427293777466,0.2554546296596527,2.9184989606993175,high,0.7685721026723908,0.3579063415527344,0.3844943940639496,0.2575991749763489,2.9214971587730636,high,0.5949121561259036,0.3560914695262909,0.3872012794017792,0.256707102060318,2.918647213908148,high,0.5813718376935425
Masks prevent the spread of COVID-19,44,0.5531464700081437,0.0049261083743842,0.4225749983705864,0.0056650246305418,0.3246586014160927,0.006970011234984,0.4290901104200874,0.0233659586665365,0.3568979515190832,0.0373044201932514,0.32860690355300903,0.40821751952171326,0.2631755471229553,2.9079453118500234,high,0.21471046597337667,0.3318607211112976,0.40774768590927124,0.26039156317710876,2.905342587294013,high,0.3529614696587326,0.3567907214164734,0.38477271795272827,0.2584365904331207,2.922787369825749,high,0.297126193851656,0.35156893730163574,0.3887317180633545,0.2596992552280426,2.922636913768601,high,0.6091675842243024,0.3446103632450104,0.39477935433387756,0.26061010360717773,2.919497930083997,high,0.6836190422544138
warmer weather slow coronavirus,2,0.4852285551163225,0.0046296296296296,0.5633902216718125,0.0115030374289633,0.5715382851708093,0.025044529524377,0.6190485836259201,0.0672493462413596,0.5547919715013803,0.113961924131482,0.3465734124183655,0.3933842182159424,0.2600424289703369,2.919824635261567,high,0.46794380041714556,0.35139331221580505,0.38690274953842163,0.2617039978504181,2.9268864388090687,high,0.5521108204444167,0.3505000174045563,0.38794219493865967,0.26155781745910645,2.9260138061705185,high,0.5657814714608155,0.3482840359210968,0.3896960914134979,0.26201993227005005,2.9255227166259603,high,0.550834315368264,0.3552211821079254,0.3848264217376709,0.2599525451660156,2.925269965447143,high,0.5114202415615863
"The use of ACE inhibitors was associated with an almost 40% lower risk of COVID-19 hospitalization for the older, Medicare Advantage patients - but there was no significant difference in risk for the younger, commercially insured patients.",20,0.4852285551163225,0.0025337837837837,0.4666423217456663,0.0043436293436293,0.301155717864192,0.0043436293436293,0.2529885263010565,0.0063178130931899,0.2245349670795815,0.009274599250647,0.36620786786079407,0.35991597175598145,0.2738761901855469,2.9528498761726896,high,0.49047329756968666,0.36815890669822693,0.3646275997161865,0.26721352338790894,2.9420651060086396,high,0.5818248856628196,0.3718382716178894,0.3666630685329437,0.26149865984916687,2.931802950847804,high,0.4509313376225222,0.37213149666786194,0.3687015473842621,0.25916701555252075,2.9274839779592625,high,0.46445685621324384,0.3698737323284149,0.3697693943977356,0.26035699248313904,2.9297870391641143,high,0.48213966038660716
no clinical evidence on vitamin D in COVID-19,42,0.7227265726449519,0.0162162162162162,0.6683063269107928,0.0251651651651651,0.6758954063971425,0.0484971003392056,0.5928123200229111,0.1001760237489987,0.532242507046885,0.1696569509481318,0.35779717564582825,0.37763792276382446,0.2645649015903473,2.935790193708562,high,0.2893596775010824,0.35581591725349426,0.3755030632019043,0.2686809301376343,2.942933918415983,high,0.42985814806649064,0.36207035183906555,0.37365368008613586,0.2642759084701538,2.936393943933923,high,0.3818430916428812,0.3595397174358368,0.37637564539909363,0.26408448815345764,2.935408802946184,high,0.4218227254071942,0.35834378004074097,0.3780931234359741,0.2635631561279297,2.9340119872004786,high,0.501357336214945
"only 6% of deaths have COVID-19 as the only cause mentioned, revealing that 94% of patients who died from coronavirus also had other health conditions and contributing causes.",4,0.4299813935652734,0.0035546613011401,0.3157104641393756,0.0047044169780588,0.2603912778280861,0.0075536803907025,0.1926285299757519,0.0099160027827204,0.1523783344058193,0.01266154265444,0.35577136278152466,0.3912186622619629,0.25301000475883484,2.910027419157888,high,0.6297823762331056,0.35963210463523865,0.3876476585865021,0.25272029638290405,2.911432810142908,high,0.854676562009419,0.3592149317264557,0.3853633999824524,0.2554216980934143,2.917318296159899,high,0.8365709522082525,0.3636101484298706,0.3821936547756195,0.25419631600379944,2.9163015542486033,high,0.7487545308940451,0.36205974221229553,0.38354700803756714,0.2543932795524597,2.9162042276160483,high,0.6578656163881841
"COVID-19 disease, caused by infection with SARS-CoV-2, is related to a series of physiopathological mechanisms that mobilize a wide variety of biomolecules, mainly immunological in nature. ",39,0.1460683498427064,0.0003097893432465,0.0947883643695507,0.0003097893432465,0.0611733153780318,0.0003097893432465,0.0571361327054534,0.000491891600668,0.0787870936782942,0.0012065798648008,0.3405776917934418,0.3878247141838074,0.27159756422042847,2.939737557725797,high,0.9554077747652571,0.3452986478805542,0.3908764719963074,0.26382485032081604,2.927236505869926,high,0.4956796232691796,0.3524060547351837,0.3890731632709503,0.25852078199386597,2.9205527445261232,high,0.45173848836423997,0.3537134826183319,0.39057663083076477,0.2557099759578705,2.9150188343549757,high,0.47432473891856247,0.3541577458381653,0.38971972465515137,0.25612255930900574,2.9162346414908775,high,0.5045943405690385
wearing a face mask do not stopped person-to-person spread of the virus.,44,0.4882441236029491,0.0066912972085385,0.5309207426460202,0.0125068418171866,0.4841325630157727,0.0202067359588444,0.5730106163403933,0.0604665629929531,0.552728820118901,0.1116661025393108,0.34306222200393677,0.4046626687049866,0.25227513909339905,2.8978257950156205,high,0.8316345683823124,0.3390274941921234,0.4064212739467621,0.2545512318611145,2.8992715278767234,high,0.6702784310578799,0.3414096236228943,0.4027935862541199,0.2557968199253082,2.9049904433676574,high,0.6815770601899515,0.3441743850708008,0.4001365303993225,0.2556890547275543,2.9074660625250526,high,0.6613670591258245,0.3448582887649536,0.39899978041648865,0.2561417520046234,2.9092039041821804,high,0.6058010803629805
coronavirus may originated in a lab,1,0.0,0.0,0.03668196104968,0.0002300437083045,0.0806694933441927,0.0008247589769328,0.0738755547049331,0.0012273354664659,0.0967745492463433,0.0030084979099451,0.3468396067619324,0.38724300265312195,0.26591745018959045,2.932835659130464,high,0.6299356693135812,0.3418658375740051,0.39482754468917847,0.2633066177368164,2.923195282943174,high,0.4141814217461659,0.34768229722976685,0.39290276169776917,0.2594149708747864,2.919267552898972,high,0.518932421439412,0.347398579120636,0.39389994740486145,0.258701354265213,2.9174139215732304,high,0.3970121641924315,0.34356415271759033,0.39677146077156067,0.2596641778945923,2.916392043429815,high,0.4370016360109651
Children are not COVID-19 super spreaders,47,0.0,0.0,0.0,0.0,0.0699038296304347,0.000940307598599,0.0544631878809182,0.0013268557238406,0.1063030565238672,0.0048458629730639,0.3317725956439972,0.402810662984848,0.2654167413711548,2.9173611619492807,high,0.6108344194324333,0.3368051052093506,0.4013703763484955,0.26182451844215393,2.9147045970069287,high,0.31317978013212655,0.34279289841651917,0.39675986766815186,0.2604472041130066,2.9175095532556887,high,0.1940856987717352,0.34739333391189575,0.3927188217639923,0.25988781452178955,2.920118376666924,high,0.3138450558197097,0.3486146628856659,0.3913324773311615,0.26005274057388306,2.921407878627574,high,0.4957770780960955
We know that COVID-19 is a coronavirus and there are other types of human coronaviruses that circulate. ,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0161279972600448,0.0001143118427069,0.0173470017570605,0.000186089046267,0.3573587238788605,0.37955528497695923,0.2630859911441803,2.932708517313543,high,0.35489310813428226,0.3517480492591858,0.3849220871925354,0.2633298337459564,2.9305375302054406,high,0.5046801055449492,0.35222628712654114,0.38398605585098267,0.2637876868247986,2.931755304946157,high,0.5054008240238932,0.3535454571247101,0.38748782873153687,0.25896671414375305,2.922225339044404,high,0.5049509053708052,0.3557201623916626,0.38560783863067627,0.2586720287799835,2.9227677663822798,high,0.48752524242367273
Can Vitamin C Protect You from COVID-19?,42,0.5531464700081437,0.0108108108108108,0.3589542101716347,0.0108108108108108,0.3019175094442837,0.0132432432432432,0.3288522539657971,0.0287230697345883,0.2791465488857012,0.0433870845497649,0.3384367823600769,0.3941200375556946,0.2674432098865509,2.9291504595321696,high,0.3613830444773275,0.3463996946811676,0.38903170824050903,0.26456862688064575,2.929673462698658,high,0.35612015194555513,0.3448446989059448,0.3888532817363739,0.2663019299507141,2.9321949355841226,high,0.4146063768505452,0.34225550293922424,0.39296668767929077,0.2647777199745178,2.926810104159743,high,0.5777765511046212,0.34747791290283203,0.38963642716407776,0.26288580894470215,2.9268315489433308,high,0.47043124524619795
